kaart;type;straat;huisnummer;huisnummerletter;huisnummertoevoeging;postcode;plaats;stadsdeel;www;email;telefoonnummer;fax;openingstijden;bijzonderheden;;
Zigzag verpleegkundige en gespecialiseerde kindzorg;adres;Albardagracht;1;;;1063NN;Amsterdam;Nieuw West;http://www.verpleegkundig-kinderdagverblijf.nl;info@zigzagzorg.nl;020 494 1296;;;zigzag is een gespecialiseerd kinderdagverblijf voor kinderen van 0-4 jaar met een (chronische) ziekte of beperking.;;
Stichting Centrum '45, locatie Diemen;adres;Nienoord;5;;;1112XE;Diemen;;http://www.centrum45.nl;mail@centrum45.nl;020 627 4974;020 625 3589;;centrum '45 is een landelijk centrum dat oorlogsgetroffenen en vervolgden behandelt.<br /> locatie diemen (voorheen de vonk) biedt ambulante hulpverlening aan vluchtelingen en asielzoekers.;;
HuisartsenTuindorp Nieuwendam;adres;Avenhornstraat;41;;;1023TR;Amsterdam;Noord;http://www.huisartsentuindorpnieuwendam.nl;;020 636 0694;;;huisartsen<br /> mevr. i.de haas<br /> mevr. s. floris<br /> mevr. l.jongen<br /> dhr. j. bartelsman<br /> mevr. s wisman<br /> mevr. o. zwarts;;
Ita Wegmanhuis, antroposofisch gezondheidscentrum;adres;Weteringschans;74;;;1017XR;Amsterdam;Centrum;http://www.itawegmanhuis.nl;;020 626 0605;;;"een gezondheidscentrum biedt ge&iuml;ntegreerde eerstelijnszorg; verschillende zorgaanbieders zijn in &eacute;&eacute;n gebouw gevestigd en werken samen.<br />";;
Hospice Veerhuis;adres;Vincent van Goghstraat;1;;-3;1072KJ;Amsterdam;Zuid;http://www.hospiceveerhuis.nl;info@hospiceveerhuis.nl;020 671 3681;020 670 1757;;hospice veerhuis is voor mensen met een levensverwachting van maximaal drie maanden. het veerhuis heeft een algemene grondslag en er is plaats voor vier mensen.<br /> de zorg is erop gericht het st;;
SOOP - Stichting Ontmoetingsruimte voor en door Ouderen Plantage-Weesperbuurt;adres;Nieuwe Kerkstraat;124;;hs;1018VM;Amsterdam;Centrum;http://www.soopnet.nl;soop@xs4all.nl;020 422 3152;;maandag t/m vrijdag 11.00-17.00 uur.;de soop is een ontmoetingsplek voor wie ouder is dan 55 jaar en woont in de plantage-weesperbuurt.;;
Universitaire Huisartsenpraktijk VUmc;postadres;Postbus;7057;;;1007MB;Amsterdam;;http://www.vumc.nl/uhp;;020 444 1400;;;de universitaire huisartsenpraktijk van het vu medisch centrum (uhp) is een huisartsengroepspraktijk die gewone huisartsenzorg verleent. daarnaast krijgen medisch studenten onderwijs, w;;
Universitaire Huisartsenpraktijk VUmc;adres;De Boelelaan;1117;;;1081HV;Amsterdam;Zuid;http://www.vumc.nl/uhp;;020 444 1400;;;de universitaire huisartsenpraktijk van het vu medisch centrum (uhp) is een huisartsengroepspraktijk die gewone huisartsenzorg verleent. daarnaast krijgen medisch studenten onderwijs, w;;
Stichting Amsterdamse Gezondheidscentra (SAG);postadres;Postbus;80417;;;1005BK;Amsterdam;;http://www.sag-amsterdam.nl;info@sag-amsterdam.nl;020 582 2080;;;"onder de stichting amsterdamse gezondheidscentra (sag) vallen verschillende gezondheidscentra. gezondheidscentra bieden geïntegreerde eerstelijnszorg; verschillende zorgaanbieders zijn in &";;
Stichting Amsterdamse Gezondheidscentra (SAG);adres;Naritaweg;213;;;1043CB;Amsterdam;Westpoort;http://www.sag-amsterdam.nl;info@sag-amsterdam.nl;020 582 2080;;;"onder de stichting amsterdamse gezondheidscentra (sag) vallen verschillende gezondheidscentra. gezondheidscentra bieden geïntegreerde eerstelijnszorg; verschillende zorgaanbieders zijn in &";;
SBT Kliniek Bijzondere Tandheelkunde;adres;GustavMahlerlaan;3004;;;1081LA;Amsterdam;Zuid;http://www.sbt.nl;info@sbt.nl;020 598 0450;;"sbt is op werkdagen open en telefonisch bereikbaar van 08.15&nbsp;tot 16.00 uur.";"bijzondere tandheelkunde is een complexe vorm van tandheelkundige zorgverlening bestemd voor pati&euml;nten met een ernstige aandoening of beperking. deze aandoening of beperking kan gelegen zijn o";;
Screeningsbalie Bijzondere Doelgroepen;adres;Jan van Galenstraat;323;;ingang B;1056CH;Amsterdam;West;https://www.amsterdam.nl/zorg-welzijn/amsterdam-biedt/;;020 252 6000;;maandag, dinsdag, donderdag, vrijdag 09.30-12.00 uur<br /> woensdag gesloten;hulp en advies voor daklozen.;;
Pastoraal spreekuur Vredeskerk;adres;Pijnackerstraat;9;;;1072JS;Amsterdam;Zuid;http://www.amsterdam.vredeskerk.nl;vredam@hotmail.com;020 662 6909;;"<strong>spreekuur</strong><strong> pastor</strong>    vrijdag 14.30-16.30 uur in de kerk    &nbsp;";;;
Shiatsu Praktijk Marijke Hemminga;adres;Kinkerstraat;297;c;;1053ET;Amsterdam;West;http://www.shiatsu-therapie-amsterdam.nl;;020 616 0438;;;;;
SCIP (Stichting Cliëntgestuurde Initiatieven en Projecten);adres;Keizersgracht;252;;;1016EV;Amsterdam;Centrum;http://www.scipweb.nl;info@scipweb.nl;020 625 3111;;;"de stichting cli&euml;ntgestuurde initiatieven en projecten (scip) co&ouml;rdineert initiatieven op het gebied van vrijwilligerswerk en vrije tijd, voor mensen met een psychische beperking.";;
Apotheek DA;adres;Leidsestraat;74;;-76;1017PD;Amsterdam;Centrum;http://www.da-apotheekleidsestraat.nl;apotheekleidsestraat@ezorg.nl;020 422 0210;020 626 7301;;;;
Bo-link, praktijk voor haptotherapie;adres;Geerdinkhof;480;;;1103RG;Amsterdam;Zuidoost;http://www.bo-link.nl;info@bo-link.nl;06 2243 4980;;;bo-link biedt:<br /> haptotherapie, haptonomische zwangerschapsbegeleiding, relatietherapie, babymassage en coaching bij werk- en levensloopvraagstukken.    praktijk van: mevr. m.g.v. boeije.;;
Mensendieckpraktijk Oosterpark;adres;"&#39;s-Gravesandeplein";13;;;1091BB;Amsterdam;Oost;http://www.mensendieck-oosterpark.nl;info@mensendieck-oosterpark.nl;020 665 8989;;;ook voor groeps- en zwangerschapsgymnastiek.;;
Borstvoedingscentrum;adres;Wethouder Frankeweg;44;;;1098LB;Amsterdam;Oost;http://www.borstvoedingscentrum.nl/;;020 470 0321;;;in het borstvoedingscentrum vind je alles wat met borstvoeding te maken heeft:    lactatiekundig advies    kolfverhuur    informatiebijeenkomsten    borstvoedingswinkel.;;
Interapy Nederland - online therapie voor psychische klachten;adres;Kabelweg;21;;;1014BA;Amsterdam;Westpoort;http://www.interapy.nl;info@interapy.nl;088 115 5811;;;"interapy is een zorgaanbieder en ontwikkelaar van e-health en online therapie in de geestelijke gezondheidszorg.<br /> &nbsp;    <strong>hulpverlening bij verwerking van seksueel geweldservari";;
Jaa! Jeugd actief voor Amsterdam;adres;Max Euweplein;36;;;1017MB;Amsterdam;Centrum;http://www.diversion.nl/project/jeugd-actief-voor-amsterdam/;info@diversion.nl;020 578 7997;;;jaa! is een groep van amsterdamse jongeren (10-23 jaar) die met de gemeente meedenkt over alle onderwerpen die jongeren zelf belangrijk vinden.;;
Buurthuis De Meevaart;adres;Balistraat;48;A;;1094JN;Amsterdam;Oost;http://meevaart.nl;demeevaart@gmail.com;020 331 9131;;;de meevaart is een voorziening voor de indische buurt en de dapperbuurt. het biedt gelegenheid aan zelfredzame bewoners, partners en ondernemers om activiteiten te organiseren voor en met bewone;;
Soa Aids Nederland;adres;Keizersgracht;392;;;1016GB;Amsterdam;Centrum;http://www.soaaids.nl;info@soaaids.nl;0900 204 2040;020 627 5221;aids soa informatielijn             - voor informatie: 24 uur per dag, 7 dagen per week.             - voor een persoonlijk gesprek: ma t/m wo 10.00-22.00 uur, do en vr 14.00-22.00 uur.;soa aids nederland stimuleert de omvang en kwaliteit van de nationale en internationale strijd tegen hiv, aids en andere soa. tegelijkertijd richten zij zich op de ondersteuning van mensen die leve;;
Marokkaanse Contactvaders Transvaalbuurt;postadres;Oosterspoorplein;4;;;1093JW;Amsterdam;Oost;http://www.streetcornerwork.eu;;020 463 2088;;;contactvaders zijn vrijwilligers die door hun aanwezigheid de sociale controle in de transvaalbuurt vergroten.             er zijn nu vijfentwintig contactvaders, die hun werkzaamheden uitvo;;
Chinese Medical Centre;adres;Geldersekade;67;;;1011EK;Amsterdam;Centrum;http://www.shenzhou.com;info@shenzhou.com;020 623 5060;020 623 3636;ma t/m vr: 09.00-17.30 uur.;het chinese medical centre biedt:    acupunctuur    behandeling met kruiden    tuina-massage;;
Chinese Vereniging in Nederland Fa Yin;adres;Recht Boomssloot;5;;;1011CR;Amsterdam;Centrum;;;020 623 3191;;;vereniging fa yin heeft als doelstelling:             het bevorderen van de chinese taal en cultuur d.m.v. het organiseren van chinees taalonderwijs en het bevorderen van het welzijn van chi;;
Wijkcentrum Ceintuur;adres;Gerard Doustraat;133;;;1073VT;Amsterdam;Zuid;http://www.wijkcentrumceintuur.nl/;info@wijkcentrumceintuur.nl;020 676 4800;;;wijkcentrum ceintuur is een onafhankelijke stichting met een bestuur bestaande uit actieve buurtbewoners.             buurtbewoners kunnen terecht met ideeën, initiatieven, klachten en;;
Jongerenwerk Zuid;adres;Smaragdplein;3;;-5;1074HA;Amsterdam;Zuid;http://www.combiwel.nl;younited@combiwel.nl;020 767 0392;;;jongerenwerk zuid organiseert activiteiten voor tieners van 11 t/m 15 jaar en jongeren van 16 t/m 23 jaar.;;
Nederlandse Hartstichting;postadres;POSTBUS;300;;;2501CH;S GRAVENHAGE;;http://www.hartstichting.nl;info@hartstichting.nl;0900 300 0300;;;"de nederlandse hartstichting bestrijdt hart- en vaatziekten door:      <ul>        <li>          <div align=left"">subsidiëren van een groot deel van het wetenschappelijk onderzoek naar har""";;
Stichting Cliniclowns Nederland;postadres;POSTBUS;1565;;;3800BN;AMERSFOORT;;http://www.cliniclowns.nl;info@cliniclowns.nl;033 330 2988;;;stichting cliniclowns nederland is er voor kinderen die het moeilijk hebben door ziekte, trauma of handicap. cliniclowns biedt hen afleiding en plezier waardoor zij het ziek zijn even kunnen ver;;
Stichting Taalhulp;postadres;POSTBUS;2319;;;1200CH;HILVERSUM;;http://www.stichtingtaalhulp.nl;info@stichtingtaalhulp.nl;035 628 3802;;;stichting taalhulp is een landelijke stichting, gespecialiseerd in onderzoek en behandeling van dyslexie bij kinderen en volwassenen.<br /> <br /> in amsterdam zijn enkele behandelaars bij stichtin;;
Logopediepraktijk Jordaan;adres;Willemsstraat;110;;;1015JD;Amsterdam;Centrum;http://www.logopediepraktijkjordaan.nl;;020 638 0040;;;logopedisten:             mevr. b. laboyrie             c. van daelen;;
Logopedisch Centrum Nieuw-West;adres;Justus Halbertsmastraat;2;;;1065VG;Amsterdam;Nieuw West;http://www.logopedischcentrumnieuwwest.nl;info@logopedischcentrumnieuwwest.nl;020 617 3508;;;;;
Stichting Dysphatische Ontwikkeling;adres;WG-plein;316;;;1054SG;Amsterdam;West;http://www.dysphasia.org;info@dysphasia.org;020 679 1758;;;doelstelling van de stichting dysphatische ontwikkeling is het optimaliseren van de vroege herkenning en behandeling van dysfatische ontwikkeling.<br /> een dysfatische ontwikkeling is een neurolog;;
IWAL Instituut voor Dyslexie, vestiging Amsterdam;adres;Prins Hendrikkade;84;;-85;1012AE;Amsterdam;Centrum;http://www.iwal.nl;info@iwal.nl;020 436 9470;020 262 1408;;het instituut voor dyslexie (iwal) helpt kinderen en volwassenen. het iwal is er voor diagnostiek van leerproblemen (in het bijzonder lees- en spellingproblemen) en voor schoolkeuzeonderzoek.</s;;
IWAL Instituut voor Dyslexie, vestiging Amsterdam;adres;POSTBUS;10897;;;1001EW;AMSTERDAM;;http://www.iwal.nl;info@iwal.nl;020 436 9470;020 262 1408;;het instituut voor dyslexie (iwal) helpt kinderen en volwassenen. het iwal is er voor diagnostiek van leerproblemen (in het bijzonder lees- en spellingproblemen) en voor schoolkeuzeonderzoek.</s;;
Stichting Ufuk;adres;Tweede van Swindenstraat;208;;;1093XA;Amsterdam;Oost;http://www.stichtingufuk.nl;info@stichtingufuk.nl;020 465 2060;;;stichting ufuk bevordert de sociale cohesie in de buurt met activiteiten voor jong en oud, allochtoon en autochtoon.    onder andere ondersteunt stichting ufuk jongeren ondersteunen bij het be;;
Steungroep Vrouwen Zonder Verblijfsvergunning (SVZV);adres;Van Ostadestraat;49;B;;1072SN;Amsterdam;Zuid;http://svzv.nl/;info@svzv.nl;020 463 0345;;het spreekuur is open op elke laatste en een-na-laatste vrijdag van de maand van 14.00 tot 17.00 uur.;de steungroep vrouwen zonder verblijfsvergunning (svzv) werkt aan het verbeteren van de positie van vrouwen zonder een geldig verblijfsdocument.;;
SOMOSA;postadres;Maassluisstraat;574;B;;1062GZ;Amsterdam;Nieuw West;http://www.somosa.nl;somosa@somosa.nl;020 512 8888;020 615 6301;;"somosa&nbsp;is een actief platform van samenwerkende maatschappelijke ondernemers en organisaties uit de amsterdamse sociale sector.";;
Stichting Fetih, turks sociaal-culturele organisatie;adres;Marcusstraat;52;;a;1091TK;Amsterdam;Oost;;erdenh@zonnet.nl;020 693 6245;;;stichting fetih is een islamitische turks vrouwenorganisatie. stichting fetih organiseert sociaal-culturele activiteiten voor vrouwen in oost-watergraafsmeer en zeeburg.;;
Stichting ABC;adres;Baarsjesweg;224;;;1058AA;Amsterdam;West;http://www.hetabc.nl;info@hetabc.nl;020 799 0010;;;het abc is een expertisecentrum voor onderwijs in en rond amsterdam. het abc heeft orthopedagogen in dienst, psychologen, taalkundigen, rekenspecialisten en schoolmaatschappelijk werkers.;;
Stichting Sociaal Cultureel Centrum Al Mawadda;adres;Jacob Geelstraat;40;;;1064VT;AMSTERDAM;Nieuw West;http://almawadda.nl;info@almawadda.nl;020 615 0352;;;al mawadda betekent: vriendschap.       stichting al mawadda beijvert zich voor een betere participatie van marokkaanse buurtbewoners in bewonerscommissies en bewonersoverleggen in stadsdeel s;;
Stichting Nisa for Nisa;adres;Johan Jongkindstraat;97;;;1062CR;Amsterdam;Nieuw West;http://www.nisa4nisa.nl;info@nisa4nisa.nl;020 411 1603;;;doel:<br /> de stichting streeft naar emancipatie van de niet-westerse vrouw. deze emancipatie houdt in dat de vrouwen dezelfde toegang kunnen krijgen tot maatschappelijke zaken die andere mensen i;;
Stichting Nisa for Nisa;postadres;POSTBUS;69251;;;1060CH;AMSTERDAM;;http://www.nisa4nisa.nl;info@nisa4nisa.nl;020 411 1603;;;doel:<br /> de stichting streeft naar emancipatie van de niet-westerse vrouw. deze emancipatie houdt in dat de vrouwen dezelfde toegang kunnen krijgen tot maatschappelijke zaken die andere mensen i;;
ZinKraamzorg Krokus;adres;Westlandgracht;27;;;1058TK;Amsterdam;Zuid;http://www.zinkraamzorg.nl/regio/krokus;krokus@zinkraamzorg.nl;020 417 1163;;;;;
Sciandri sportbuurtwerk;postadres;POSTBUS;9593;;;2003LN;HAARLEM;;http://www.sciandri.com;info@sciandri.com;023 532 7044;;;"sciandri biedt sportactiviteiten aan op verschillende&nbsp;plekken in amsterdam.";;
Marieke Bevelanderhuis, gesprekpartner voor mensen met hiv;postadres;Postbus;15847;;;1001NH;Amsterdam;;http://www.mbhuis.nl;mbhuis@hivnet.org;020 665 2099;;;mensen met hiv kunnen bij het marieke bevelanderhuis een gesprek aanvragen met iemand die zelf hiv heeft. deze vrijwilligers kunnen goed aanvoelen wat je doormaakt en kunnen je steunen bij het make;;
Woonzorgcentrum Het Schouw;adres;Dollardplein;2;;;1025XJ;Amsterdam;Noord;http://www.amstelring.nl/hetschouw;;020 756 4000;;;"het schouw is&nbsp;een verpleeghuis in amsterdam noord en biedt ook:<br /> - kleinschalig wonen dementie    - thuiszorg in omliggende wijken    - dagbesteding&nbsp;voor ouderen    -";;
Multidisciplinair Trajecthouders Team (MTT);postadres;Postbus;75450;;;1070AL;Amsterdam;;http://www.spirit.nl;JMW.Aanmeldingen.MTT@spirit.nl;;;;"het multidisciplinair trajecthouders team (mtt) biedt hulp aan dak- en thuisloze jongeren van 18 tot 23 jaar. de ggd bepaalt of&nbsp;een jongere&nbsp;recht heeft op een mtt-traject. de ggd onderzoe";;
Eigen Kracht Centrale Amsterdam;adres;Nieuwe Herengracht;18;;;1018DP;Amsterdam;Centrum;http://www.eigen-kracht.nl;amsterdam@eigen-kracht.nl;020 237 1785;;;tijdens een eigen-kracht conferentie kunnen mensen samen met familie, vrienden en dierbaren een oplossing bedenken als het tegenzit. de krachten worden gebundeld, er wordt overlegd en er wordt e;;
De Verhulst, meisjeshulpverlening;adres;Johannes Verhulststraat;52;;;1071NG;Amsterdam;Zuid;http://www.spirit.nl;info@spirit.nl;020 670 1279;;;"de verhulst is een hulpvorm die specifiek bedoeld is voor meisjes tussen de 12 en 18 jaar. het kan hierbij gaan om crisissituaties. de meisjes en hun ouders worden intensief begleid.&nbsp;<br /> ve";;
Perspectief GZ;adres;Jan Evertsenstraat;751;;;1061XZ;Amsterdam;Nieuw West;http://www.het-perspectief.nl;info@het-perspectief.nl;020 617 8757;020 613 9201;ma t/m vr: 09.00-17.00 uur.             di en do: 's avonds tot 20.00 uur.;"perspectief gz is een zorgaanbieder vanuit gehandicaptenzorg en bied extramurale behandeling en begeleiding specifiek aan mensen met een lichte verstandelijke beperking.    &nbsp;    <str";;
Stichting Wan Ati;adres;Gerard Doustraat;214;;hs;1073XB;Amsterdam;Zuid;;;020 664 6077;;;stichting wan ati stimuleert de surinaamse cultuur.;;
Wi Kontren, woongroep Surinaamse ouderen;adres;Randwijkhof;51;;;1106JX;Amsterdam;Zuidoost;http://multiculturele-ouderenzorg.nl/woongroepen/wi-kontren/;;020 691 4270;;;wi kontren is een woongroep voor surinaamse ouderen. de bewoners proberen zo goed mogelijk de surinaamse traditie te handhaven.;;
Stichting Ibno-Khaldoun;adres;Weesperzijde;74;;;1091EH;Amsterdam;Oost;http://ibnokhaldoun.nl;info@ibnokhaldoun.nl;020 693 5040;020 694 2445;;stichting ibno-khaldoun organiseert scholing- en vormingsactiviteiten voor marokkanen. de activiteiten zijn gericht op jongeren, vrouwen en ouderen.                    met haar activitei;;
Inloophuis Ondro Bong;adres;Zeeburgerdijk;53;;;1094AA;Amsterdam;Oost;http://www.deregenboog.org;;;;;inloophuis voor drugs- en alcoholverslaafden van veelal surinaamse afkomst.             o.a. kooklessen, schoonmaakacties, themabijeenkomsten, voorlichting en trainingen.;;
Turkse Ouderenraad (TYDM);adres;Balistraat;48;A;;1094JN;Amsterdam;Oost;http://www.turkseouderenraad.nl;info@turkseouderenraad.nl;020 893 2481;;maandag t/m vrijdag: 9.00 - 18.00 uur;de turkse ouderenraad organiseert lerende ondersteuningsprojecten voor ouderen in amsterdam met een turkse achtergrond en een sociaal-economisch zwakkere positie.;;
Turkse Ouderenraad (TYDM);adres;POSTBUS;92073;;;1090AB;AMSTERDAM;;http://www.turkseouderenraad.nl;info@turkseouderenraad.nl;020 893 2481;;maandag t/m vrijdag: 9.00 - 18.00 uur;de turkse ouderenraad organiseert lerende ondersteuningsprojecten voor ouderen in amsterdam met een turkse achtergrond en een sociaal-economisch zwakkere positie.;;
Koerdisch Nederlands Cultureel Centrum Amsterdam;adres;Metaalbewerkerweg;19;;;1032KW;Amsterdam;Noord;http://www.fedkom.nl;kga@fedkom.nl;020 669 7071;020 614 3468;;in het koerdisch nederlands cultureel centrum zijn er typisch koerdische activiteiten (dans, muziek) en sport. staat open voor koerden en voor alle geïnteresseerden in de koerdische cultuur;;
Herstart Zuiderburgh;adres;Joh.M. Coenenstraat;2;;;1071WG;Amsterdam;Zuid;http://www.legerdesheils.nl/goodwillcentra-amsterdam/;;020 305 3366;;;"pension zuiderburgh is een woonvoorziening voor&nbsp;dak- en thuisloze mensen met psychiatrische en/of verslavingsproblematiek";;
1ste Lijn Amsterdam;adres;Hoogte Kadijk;143;;C;1018BH;Amsterdam;Centrum;http://www.1stelijnamsterdam.nl;info@1stelijnamsterdam.nl;020 344 5377;020 344 5370;;1ste lijn amsterdam is de regionale ondersteuningstructuur (ros) voor de eerstelijnsgezondheidszorg in amsterdam.;;
1ste Lijn Amsterdam;postadres;Postbus;206;;;1000AE;Amsterdam;;http://www.1stelijnamsterdam.nl;info@1stelijnamsterdam.nl;020 344 5377;020 344 5370;;1ste lijn amsterdam is de regionale ondersteuningstructuur (ros) voor de eerstelijnsgezondheidszorg in amsterdam.;;
Ingeborg Douwes Centrum, begeleiding van mensen met kanker en hun naasten;adres;IJsbaanpad;9;;-11;1076CV;Amsterdam;Zuid;http://www.ingeborgdouwescentrum.nl/;ingeborgdouwescentrum@olvg.nl;020 364 0330;;;het ingeborg douwes centrum heeft als doel psychosociale ondersteuning te bieden aan mensen met kanker en hun naasten uit de regio amsterdam en omstreken.                    dit gebeurt;;
Clusterwonen;adres;Plantage Doklaan;16;;;1018CM;Amsterdam;Centrum;http://www.legerdesheils-goodwillcentra.nl;;020 411 5586;020 411 5589;;"clusterwonen is een woonvoorziening voor&nbsp;dak- en thuislozen met o.a. een psychiatrische en/ of een (alcohol)verslavingsproblematiek.";;
GGZ inGeest Polikliniek Ouderen;adres;Osdorpplein;880;;;1068TD;Amsterdam;Nieuw West;http://www.ggzingeest.nl;;020 788 5565;;;"polikliniek ouderen&nbsp;biedt diagnostiek en behandeling aan alle mensen van zestig jaar en ouder met ernstige psychiatrische&nbsp;klachten of met&nbsp; psychosociale klachten of geheugenklachten";;
GGZ inGeest Polikliniek Ouderen;adres;Amstelveenseweg;589;;;1081JC;Amsterdam;Zuid;http://www.ggzingeest.nl;;020 788 5565;;;"polikliniek ouderen&nbsp;biedt diagnostiek en behandeling aan alle mensen van zestig jaar en ouder met ernstige psychiatrische&nbsp;klachten of met&nbsp; psychosociale klachten of geheugenklachten";;
GGZ inGeest Poliklinieken;adres;Amstelveenseweg;589;;;1081JC;Amsterdam;Zuid;http://www.ggzingeest.nl;;020 788 5000;;;op locatie <strong>nieuwe valerius</strong> zijn de onderstaande poliklinieken gevestigd:    - academische zorglijn angst en dwang<br /> - academische zorglijn bipolair<br /> - academische zor;;
GGZ inGeest Poliklinieken;adres;Arent Janszoon Ernststraat;1187;;;1081HL;Amsterdam;Zuid;http://www.ggzingeest.nl;;020 788 5000;;;op locatie <strong>nieuwe valerius</strong> zijn de onderstaande poliklinieken gevestigd:    - academische zorglijn angst en dwang<br /> - academische zorglijn bipolair<br /> - academische zor;;
De Aak, zorgvoorziening voor dak- en thuislozen;adres;Akerwateringstraat;241;;;1069GD;Amsterdam;Nieuw West;http://www.hvoquerido.nl;;020 667 5050;;;"de aak is een maatschappelijke opvang van hvo-querido voor&nbsp;dak- en thuislozen met een somatische zorgvraag, mogelijk in combinatie met verslavings- of psychiatrische problematiek, schulden of";;
Mensendieckpraktijk Westerpark;adres;Donker Curtiusstraat;7;;unit 408;1051JL;Amsterdam;West;http://www.houdingenbeweging.nl/;kleinleugenmors@hetnet.nl;020 682 2321;;;;;
Besnijdenis Centrum Amsterdam (BCA);adres;"Alfred D&#246;blinstraat";56;;;1102VL;Amsterdam;Zuidoost;http://www.besnijdeniscentrum.nl;amsterdam@besnijdeniscentrum.nl;020 690 9712;;op drie zaterdagen per maand worden besnijdenissen uitgevoerd. afspraak maken: per telefoon of via de website.;"in het besnijdenis centrum amsterdam (bca) kunnen ouders terecht die hun zoontje om religieuze, culturele of hygi&euml;nische redenen willen laten besnijden.";;
Fokus wonen met adl-assistentie;adres;Wethouder Ed. Polakstraat;31;;;1107CV;Amsterdam;Zuidoost;http://www.fokuswonen.nl;;020 665 4788;;;fokusprojecten zijn clusters van 12 tot 15 aangepaste woningen met een centrale adl-eenheid. dit is een unit van waaruit mensen met een lichamelijke handicap ondersteuning krijgen bij algemene d;;
Fokus wonen met adl-assistentie;adres;Entrepotbrug;55;;;1019JC;Amsterdam;Oost;http://www.fokuswonen.nl;;020 665 4788;;;fokusprojecten zijn clusters van 12 tot 15 aangepaste woningen met een centrale adl-eenheid. dit is een unit van waaruit mensen met een lichamelijke handicap ondersteuning krijgen bij algemene d;;
Fokus wonen met adl-assistentie;adres;Dwaze Moeders plein;1;;;1068RT;Amsterdam;Nieuw West;http://www.fokuswonen.nl;;020 665 4788;;;fokusprojecten zijn clusters van 12 tot 15 aangepaste woningen met een centrale adl-eenheid. dit is een unit van waaruit mensen met een lichamelijke handicap ondersteuning krijgen bij algemene d;;
Fokus wonen met adl-assistentie;adres;Amstelveenseweg;310;;;1076CS;Amsterdam;Zuid;http://www.fokuswonen.nl;;020 665 4788;;;fokusprojecten zijn clusters van 12 tot 15 aangepaste woningen met een centrale adl-eenheid. dit is een unit van waaruit mensen met een lichamelijke handicap ondersteuning krijgen bij algemene d;;
Beterburen;adres;Rijnstraat;115;;;1079HA;Amsterdam;Zuid;http://www.beterburen.nl;info@beterburen.nl;085 902 2810;;"op werkdagen telefonisch bereikbaar van 8.30 tot 12.00 uur&nbsp;en van 13.00 tot 17.00 uur.    inloopspreekuur: dinsdagmiddag&nbsp;van 13.00 tot 14.00 uur.";"beterburen biedt bemiddeling aan buren die overlast van elkaar ervaren. de&nbsp;bemiddelaars ondersteunen beide buren bij het voorbereiden naar een gezamenlijk bemiddelingsgesprek.<br /> &nbsp;";;
Logopediepraktijk Henriette Warendorf;adres;Heinzestraat;23;;;1071SL;Amsterdam;Zuid;http://www.henriettewarendorf.nl;info@henriettewarendorf.nl;06 2227 2651;;;logopedie, stemcoaching en presentatietechnieken.;;
Logopediepraktijk Henriette Warendorf;postadres;Melchior Treublaan;5;;;2101GR;Heemstede;;http://www.henriettewarendorf.nl;info@henriettewarendorf.nl;06 2227 2651;;;logopedie, stemcoaching en presentatietechnieken.;;
Borstvoedingspraktijk Osdorp;adres;Pieter Calandlaan;521;;;1068NN;Amsterdam;Nieuw West;http://www.borstvoedingspraktijkosdorp.nl;info@borstvoedingspraktijkosdorp.nl;020 619 5431;;;lactatiedeskundige: mevr. trudy van der helm.             werkgebied: heel amsterdam, maar vooral west.      <ul>        <li>begeleiding bij borstvoeding </li>        <li>verhuur, verkoop en;;
Fa. A. Vos en Zoons Medische en verpleegartikelen;adres;Eerste Oosterparkstraat;64;;-66;1091HC;Amsterdam;Oost;http://www.vosmedisch.nl;info@vosmedisch.nl;020 694 2379;;;medische artikelen voor zowel arts als particulier.;;
Mensendieck Amsterdam Noord;adres;Molenwijk;17;;;1035EG;Amsterdam;Noord;http://www.mensendieckamsterdam-noord.nl;mailons@mensendieckamsterdam-noord.nl;020 633 1691;;;;;
Mensendieck Amsterdam Noord;adres;Meteorensingel;25;;;1033CB;Amsterdam;Noord;http://www.mensendieckamsterdam-noord.nl;mailons@mensendieckamsterdam-noord.nl;020 633 1691;;;;;
Jongerencentrum The Matrixx;adres;Heverleestraat;2;A;;1066JJ;Amsterdam;Nieuw West;http://www.jebentjonginnieuwwest.nl/thematrixx.html;;020 767 0588;;;de matrixx is een plek voor tieners en jongeren die in de wijk nieuw-sloten wonen. o.a. meidenclub, filmclub en inloop (tafelvoetbal, tafeltennis, tv kijken).;;
Groepspraktijk voor Fysiotherapie 't Fontainehoff;adres;Kraaiennest;74;;;1104CE;Amsterdam;Zuidoost;http://www.fontainehoff.nl;praktijken@fontainehoff.nl;020 698 0478;;;de groepspraktijk voor fysiotherapie 't fontainehoff biedt een compleet dienstenpakket aan met verschillende specialisaties.;;
Groepspraktijk voor Fysiotherapie 't Fontainehoff;adres;Koornhorst;62;;;1104JB;Amsterdam;Zuidoost;http://www.fontainehoff.nl;praktijken@fontainehoff.nl;020 695 4075;;;de groepspraktijk voor fysiotherapie 't fontainehoff biedt een compleet dienstenpakket aan met verschillende specialisaties.;;
Tandheelkundepraktijk Stadhouderskade;adres;Stadhouderskade;114;A;;1073AX;Amsterdam;Zuid;http://www.tandarts-stadhouderskade.nl/;afspraak@xs4all.nl;020 662 7259;020 676 4399;;;;
